Date,SST
2022-04-23,2982.1501075268816
2022-04-24,2982.2160215053764
2022-04-25,2982.2819354838707
2022-04-26,2982.347849462365
2022-04-27,2982.41376344086
2022-04-28,2982.479677419354
2022-04-29,2982.5455913978494
2022-04-30,2982.611505376344
2022-05-01,2982.6774193548385
2022-05-02,2982.005029483177
2022-05-03,2981.332639611516
2022-05-04,2980.660249739854
2022-05-05,2979.987859868193
2022-05-06,2979.315469996531
2022-05-07,2978.64308012487
2022-05-08,2977.9706902532084
2022-05-09,2977.2983003815466
2022-05-10,2976.625910509885
2022-05-11,2975.953520638224
2022-05-12,2975.2811307665625
2022-05-13,2974.608740894901
2022-05-14,2973.9363510232392
2022-05-15,2973.263961151578
2022-05-16,2972.5915712799165
2022-05-17,2971.919181408255
2022-05-18,2971.2467915365937
2022-05-19,2970.5744016649323
2022-05-20,2969.9020117932705
2022-05-21,2969.229621921609
2022-05-22,2968.557232049948
2022-05-23,2967.8848421782864
2022-05-24,2967.212452306625
2022-05-25,2966.540062434963
2022-05-26,2965.8676725633018
2022-05-27,2965.1952826916404
2022-05-28,2964.522892819979
2022-05-29,2963.8505029483176
2022-05-30,2963.178113076656
2022-05-31,2962.5057232049944
2022-06-01,2961.833333333333
2022-06-02,2960.8808243727594
2022-06-03,2959.9283154121863
2022-06-04,2958.9758064516127
2022-06-05,2958.023297491039
2022-06-06,2957.070788530465
2022-06-07,2956.1182795698924
2022-06-08,2955.1657706093188
2022-06-09,2954.213261648745
2022-06-10,2953.260752688172
2022-06-11,2952.3082437275984
2022-06-12,2951.355734767025
2022-06-13,2950.403225806452
2022-06-14,2949.450716845878
2022-06-15,2948.4982078853045
2022-06-16,2947.545698924732
2022-06-17,2946.593189964158
2022-06-18,2945.640681003584
2022-06-19,2944.6881720430106
2022-06-20,2943.735663082437
2022-06-21,2942.783154121864
2022-06-22,2941.8306451612902
2022-06-23,2940.878136200717
2022-06-24,2939.9256272401435
2022-06-25,2938.97311827957
2022-06-26,2938.0206093189963
2022-06-27,2937.068100358423
2022-06-28,2936.1155913978496
2022-06-29,2935.163082437276
2022-06-30,2934.210573476703
2022-07-01,2933.2580645161293
2022-07-02,2930.271592091572
2022-07-03,2927.285119667013
2022-07-04,2924.298647242456
2022-07-05,2921.3121748178983
2022-07-06,2918.3257023933406
2022-07-07,2915.3392299687825
2022-07-08,2912.352757544225
2022-07-09,2909.3662851196677
2022-07-10,2906.379812695109
2022-07-11,2903.393340270552
2022-07-12,2900.406867845994
2022-07-13,2897.4203954214363
2022-07-14,2894.433922996878
2022-07-15,2891.4474505723206
2022-07-16,2888.460978147763
2022-07-17,2885.474505723205
2022-07-18,2882.488033298647
2022-07-19,2879.5015608740896
2022-07-20,2876.5150884495315
2022-07-21,2873.528616024974
2022-07-22,2870.542143600416
2022-07-23,2867.5556711758586
2022-07-24,2864.5691987513005
2022-07-25,2861.582726326743
2022-07-26,2858.5962539021853
2022-07-27,2855.609781477627
2022-07-28,2852.623309053069
2022-07-29,2849.636836628512
2022-07-30,2846.6503642039543
2022-07-31,2843.663891779396
2022-08-01,2840.6774193548385
2022-08-02,2841.360943461672
2022-08-03,2842.044467568505
2022-08-04,2842.727991675338
2022-08-05,2843.411515782171
2022-08-06,2844.0950398890045
2022-08-07,2844.778563995837
2022-08-08,2845.462088102671
2022-08-09,2846.145612209504
2022-08-10,2846.829136316337
2022-08-11,2847.51266042317
2022-08-12,2848.1961845300034
2022-08-13,2848.8797086368368
2022-08-14,2849.5632327436697
2022-08-15,2850.246756850503
2022-08-16,2850.930280957336
2022-08-17,2851.6138050641694
2022-08-18,2852.2973291710023
2022-08-19,2852.980853277836
2022-08-20,2853.664377384669
2022-08-21,2854.347901491502
2022-08-22,2855.0314255983358
2022-08-23,2855.714949705168
2022-08-24,2856.3984738120016
2022-08-25,2857.0819979188345
2022-08-26,2857.765522025668
2022-08-27,2858.449046132501
2022-08-28,2859.132570239334
2022-08-29,2859.816094346167
2022-08-30,2860.4996184530005
2022-08-31,2861.1831425598334
2022-09-01,2861.866666666667
2022-09-02,2864.105519713262
2022-09-03,2866.344372759857
2022-09-04,2868.5832258064515
2022-09-05,2870.8220788530466
2022-09-06,2873.0609318996417
2022-09-07,2875.2997849462367
2022-09-08,2877.538637992832
2022-09-09,2879.7774910394264
2022-09-10,2882.016344086021
2022-09-11,2884.255197132617
2022-09-12,2886.494050179212
2022-09-13,2888.7329032258067
2022-09-14,2890.9717562724013
2022-09-15,2893.2106093189964
2022-09-16,2895.4494623655914
2022-09-17,2897.6883154121865
2022-09-18,2899.9271684587816
2022-09-19,2902.166021505376
2022-09-20,2904.4048745519717
2022-09-21,2906.6437275985663
2022-09-22,2908.8825806451614
2022-09-23,2911.1214336917565
2022-09-24,2913.360286738351
2022-09-25,2915.599139784946
2022-09-26,2917.837992831541
2022-09-27,2920.0768458781363
2022-09-28,2922.315698924732
2022-09-29,2924.554551971326
2022-09-30,2926.793405017921
2022-10-01,2929.032258064516
2022-10-02,2925.975303503295
2022-10-03,2922.9183489420743
2022-10-04,2919.861394380853
2022-10-05,2916.8044398196325
2022-10-06,2913.7474852584114
2022-10-07,2910.6905306971903
2022-10-08,2907.6335761359696
2022-10-09,2904.5766215747485
2022-10-10,2901.5196670135274
2022-10-11,2898.4627124523067
2022-10-12,2895.4057578910856
2022-10-13,2892.348803329865
2022-10-14,2889.291848768644
2022-10-15,2886.2348942074227
2022-10-16,2883.177939646202
2022-10-17,2880.120985084981
2022-10-18,2877.0640305237603
2022-10-19,2874.007075962539
2022-10-20,2870.950121401318
2022-10-21,2867.8931668400974
2022-10-22,2864.836212278876
2022-10-23,2861.779257717655
2022-10-24,2858.7223031564345
2022-10-25,2855.6653485952133
2022-10-26,2852.6083940339927
