system:index,date,mean_sst,.geo
20230504,2023-05-04,2992.1214140292423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230505,2023-05-05,2999.828239630473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230506,2023-05-06,3014.58176111775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230507,2023-05-07,3010.5586002260393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230508,2023-05-08,3010.7950961050024,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230509,2023-05-09,3013.228064786708,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230510,2023-05-10,3023.9811649162684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230511,2023-05-11,3021.128791727226,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230512,2023-05-12,2995.7244202393554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230513,2023-05-13,2983.137423653524,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230514,2023-05-14,2971.262360154531,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230515,2023-05-15,2961.9166164581666,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230516,2023-05-16,2960.6850331376204,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230517,2023-05-17,2976.7117598182217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518,2023-05-18,2988.7149987595617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230519,2023-05-19,2996.8400337086214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230520,2023-05-20,3008.3680855001794,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230521,2023-05-21,3010.300638731054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230522,2023-05-22,3014.8705644224565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230523,2023-05-23,3024.4993915909627,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230524,2023-05-24,3029.403044407957,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230525,2023-05-25,3021.2193678846706,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230526,2023-05-26,3012.504672345155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230527,2023-05-27,3005.876869036517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230528,2023-05-28,3000.240614945999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230529,2023-05-29,2997.2297443106836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230530,2023-05-30,2998.3907147723335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230531,2023-05-31,2999.702157194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230601,2023-06-01,2991.209089906715,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230602,2023-06-02,2973.0152220397713,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230603,2023-06-03,2963.289823226657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230604,2023-06-04,2952.29068366275,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230605,2023-06-05,2940.727653273799,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230606,2023-06-06,2946.7207579713445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230607,2023-06-07,2948.7386243261294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230608,2023-06-08,2945.1553215116996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230609,2023-06-09,2941.301774821718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230610,2023-06-10,2947.02834713576,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230611,2023-06-11,2952.5891309398667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230612,2023-06-12,2956.9721608562654,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230613,2023-06-13,2957.676710338235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230614,2023-06-14,2965.2467443225046,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230615,2023-06-15,2966.8971040517413,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230616,2023-06-16,2963.2879999685015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230617,2023-06-17,2960.071439822641,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230618,2023-06-18,2941.7173378855778,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230619,2023-06-19,2943.4881862322377,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230620,2023-06-20,2935.7760601872174,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230621,2023-06-21,2919.6664678015813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230622,2023-06-22,2917.002608873722,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230623,2023-06-23,2909.286046758899,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230624,2023-06-24,2905.81119630151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230625,2023-06-25,2900.6287779444824,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230626,2023-06-26,2901.8913625605956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230627,2023-06-27,2914.035632292547,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230628,2023-06-28,2923.8629858904305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230629,2023-06-29,2923.780872328617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230630,2023-06-30,2923.045041958568,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230701,2023-07-01,2917.729220566985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230702,2023-07-02,2893.7118326698032,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230703,2023-07-03,2894.268440307007,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230704,2023-07-04,2895.36177891716,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230705,2023-07-05,2871.580132786756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230706,2023-07-06,2862.197348990519,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230707,2023-07-07,2870.1694369952183,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230708,2023-07-08,2884.2393252763445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230709,2023-07-09,2891.5277269129483,"{""type"":""MultiPoint"",""coordinates"":[]}"
